num_circuit,num_qubits_each_circuit,dataset,average_throughput
13,8,MILQ,5955.692307692308
13,8,MTMC,6435.692307692308
13,8,NoTaDS,5520.0
13,9,FFD,9478.153846153846
13,9,MILQ,8088.615384615385
13,9,MTMC,9746.461538461539
13,9,NoTaDS,10014.76923076923
13,10,FFD,10014.76923076923
13,10,MILQ,8356.923076923076
13,10,MTMC,8941.538461538461
13,10,NoTaDS,18419.69230769231
14,2,FFD,1042.2857142857142
14,2,MILQ,781.7142857142857
14,2,MTMC,1042.2857142857142
14,2,NoTaDS,17.25
14,3,FFD,2752.0
14,3,MILQ,2752.0000714281427
14,3,MTMC,2752.0
14,3,NoTaDS,352.10714285714283
14,4,FFD,8596.57142857143
14,4,MILQ,8507.42857142857
14,4,MTMC,9593.142857142857
14,4,NoTaDS,771.4285714285714
14,5,FFD,9593.142857142857
14,5,MILQ,8009.142857142857
14,5,MTMC,10091.42857142857
14,5,NoTaDS,1840.0
14,6,FFD,4558.857142857143
14,6,MILQ,2445.714285714286
14,6,MTMC,5051.428571428572
14,6,NoTaDS,3760.0
14,7,FFD,5317.714285714285
14,7,MILQ,4406.892857142857
14,7,MTMC,5849.142857142857
14,7,NoTaDS,4640.0
14,8,FFD,5923.428571428572
14,8,MILQ,5878.857142857143
14,8,MTMC,5674.285714285715
14,8,NoTaDS,5520.0
14,9,FFD,9094.857142857143
14,9,MILQ,9842.285714285714
14,9,MTMC,9344.0
14,9,NoTaDS,9094.857142857143
14,10,FFD,9842.285714285714
14,10,MILQ,5351280.142857143
14,10,MTMC,8845.714285714286
14,10,NoTaDS,18688.0
15,2,FFD,972.8
15,2,MILQ,972.8
15,2,MTMC,972.8
15,2,NoTaDS,16.133333333333333
15,3,FFD,2935.4666666666667
15,3,MILQ,3303.6662357333335
15,3,MTMC,2935.4666666666667
15,3,NoTaDS,375.46666666666664
15,4,FFD,9501.866666666667
15,4,MILQ,44935950.0
15,4,MTMC,10432.0
15,4,NoTaDS,768.0666666666667
15,5,FFD,9501.866666666667
15,5,MILQ,7908.62201
15,5,MTMC,11362.133333333333
15,5,NoTaDS,1840.0
15,6,FFD,4983.466666666666
15,6,MILQ,5511.466666666666
15,6,MTMC,4988.8
15,6,NoTaDS,3760.0
15,7,FFD,4650.666666666667
15,7,MILQ,3839.0289065966663
15,7,MTMC,5348.266666666666
15,7,NoTaDS,4640.0
15,8,FFD,6035.2
15,8,MILQ,5895.637437576666
15,8,MTMC,6267.733333333334
15,8,NoTaDS,5520.0
15,9,FFD,9460.266666666666
15,9,MILQ,8953.6
15,9,MTMC,10157.866666666667
15,9,NoTaDS,9460.266666666666
15,10,FFD,9460.266666666666
15,10,MILQ,6968.533333333334
15,10,MTMC,9692.8
15,10,NoTaDS,18688.0
16,2,FFD,912.0
16,2,MILQ,912.0
16,2,MTMC,912.0
16,2,NoTaDS,20.0
16,3,FFD,2752.0
16,3,MILQ,2880.0
16,3,MTMC,2752.0
16,3,NoTaDS,352.09375
16,4,FFD,10216.0
16,4,MILQ,7958.0
16,4,MTMC,9344.0
16,4,NoTaDS,768.0
16,5,FFD,8908.0
16,5,MILQ,26560705.0
16,5,MTMC,9344.0
16,5,NoTaDS,1840.0
16,6,FFD,4682.0
16,6,MILQ,3301.000000000281
16,6,MTMC,4464.0
16,6,NoTaDS,3760.0
16,7,FFD,5346.0
16,7,MILQ,3010.0
16,7,MTMC,4796.0
16,7,NoTaDS,4640.0
16,8,FFD,5394.0
16,8,MILQ,5440.0
16,8,MTMC,5830.0
16,8,NoTaDS,5520.0
16,9,FFD,9780.0
16,9,MILQ,20826.7034375
16,9,MTMC,9344.0
16,9,NoTaDS,9344.0
16,10,FFD,9344.0
16,10,MILQ,9126.030058880624
16,10,MTMC,9126.0
16,10,NoTaDS,18252.0
17,2,FFD,1072.9411764705883
17,2,MILQ,858.3529411764706
17,2,MTMC,1072.9411764705883
17,2,NoTaDS,18.852941176470587
17,3,FFD,2913.8823529411766
17,3,MILQ,2484.705882352941
17,3,MTMC,2913.8823529411766
17,3,NoTaDS,372.70588235294116
17,4,FFD,10509.176470588236
17,4,MILQ,8794.35294117647
17,4,MTMC,10509.176470588236
17,4,NoTaDS,765.2352941176471
17,5,FFD,10098.823529411764
17,5,MILQ,151762984.94117647
17,5,MTMC,9278.117647058823
17,5,NoTaDS,1840.0
17,6,FFD,4433.882352941177
17,6,MILQ,2664.470598392157
17,6,MTMC,5469.176470588235
17,6,NoTaDS,3760.0
17,7,FFD,5166.117647058823
17,7,MILQ,2916.6680672264706
17,7,MTMC,4550.588235294118
17,7,NoTaDS,4640.0
17,8,FFD,5523.764705882353
17,8,MILQ,7320.470588235294
17,8,MTMC,6344.470588235294
17,8,NoTaDS,5520.0
17,9,FFD,10062.117647058823
17,9,MILQ,7284.705882352941
17,9,MTMC,8831.058823529413
17,9,NoTaDS,9036.235294117647
17,10,FFD,8831.058823529413
17,10,MILQ,8142.117647058823
17,10,MTMC,8831.058823529413
17,10,NoTaDS,18893.176470588234
18,2,FFD,1013.3333333333334
18,2,MILQ,1013.3333333333334
18,2,MTMC,1013.3333333333334
